block_id,hour,lighting_score,police_stn_dist,past_incidents,crowd_density,risk_score
92,6,6,9.43,12,9,90.77
27,6,9,8.28,47,10,100.0
94,22,3,1.12,27,3,100.0
20,14,0,3.92,4,0,87.38
62,17,2,2.11,28,1,100.0
12,18,4,1.45,37,3,100.0
12,16,3,2.27,1,2,64.71
80,17,0,8.21,40,0,100.0
26,3,7,7.27,33,1,100.0
14,20,3,5.28,41,3,100.0
84,7,2,7.82,37,10,100.0
19,23,0,5.47,13,7,100.0
39,5,4,8.04,7,1,83.33
72,13,9,6.84,1,3,36.95
77,0,8,4.27,44,7,100.0
73,5,4,3.2,7,5,64.79
69,2,10,8.42,31,8,100.0
1,22,5,6.77,8,0,100.0
5,5,2,8.38,43,6,100.0
13,3,7,7.0,18,4,100.0
24,23,7,5.46,49,4,100.0
53,0,9,4.33,22,10,100.0
64,0,8,9.83,32,5,100.0
60,4,1,5.3,22,7,100.0
26,18,0,3.03,41,0,100.0
78,14,5,3.42,35,10,100.0
39,18,5,8.53,41,2,100.0
73,0,0,3.49,44,5,100.0
4,22,2,9.98,8,3,100.0
9,16,9,5.67,25,6,89.55
91,2,8,3.12,23,10,100.0
43,0,1,8.51,27,2,100.0
18,8,10,5.2,7,6,49.53
94,8,6,1.14,9,4,52.13
2,4,10,9.02,21,9,100.0
72,10,7,5.53,7,6,56.49
98,23,4,1.66,42,3,100.0
7,8,7,3.16,8,5,47.68
63,23,2,4.86,10,8,100.0
67,5,0,1.23,18,2,100.0
89,18,9,2.15,14,8,72.14
46,13,9,3.48,6,8,47.3
68,8,9,2.95,11,7,54.27
88,11,3,2.24,38,10,100.0
46,20,9,0.58,22,0,72.35
13,17,7,0.19,2,1,32.97
34,21,10,4.54,49,4,100.0
31,3,2,7.99,11,2,100.0
72,22,4,7.21,3,9,98.35
86,1,7,8.2,10,7,92.78
63,7,7,1.71,29,6,96.75
71,13,7,2.44,29,0,95.39
11,19,5,6.78,16,7,98.96
70,22,6,6.04,23,10,100.0
68,17,1,6.28,31,9,100.0
90,12,1,7.18,27,10,100.0
